	code	name	changepercent	trade	open	high	low	settlement	volume	turnoverratio	amount	per	pb	mktcap	nmc
2833	002896	中大力德	-6.104	26.15	27.83	27.87	26.01	27.85	2177537	2.72192	58146546	39.621	3.064	209200.0	209200.0
2834	002895	川恒股份	-1.148	11.19	11.23	11.3	11.02	11.32	2063592	0.51165	22971284	24.812	1.87	546545.337	451312.842
2835	002893	华通热力	-2.6029999999999998	7.11	7.35	7.35	7.07	7.3	1352485	1.08236	9634437	23.7	2.385	145795.75452	88844.552136
2836	002892	科力尔	1.392	20.4	20.14	20.47	20.05	20.12	687640	0.48462000000000005	13928391	32.924	4.187	289924.8	289459.476
2837	002891	中宠股份	1.9889999999999999	63.08	61.36	64.5	61.31	61.85	3159700	1.76816	198759773	137.13	7.268	1236841.932656	1127236.41446
2838	002890	弘宇股份	-3.179	20.1	20.78	20.89	20.01	20.76	946200	2.20776	19112450	154.615	2.457	134006.7	86144.36292
2839	002889	东方嘉盛	-2.287	23.07	23.61	23.73	22.9	23.61	518500	0.57469	12047577	21.165	1.88	318599.996703	208141.701828
2840	002888	惠威科技	-2.995	14.9	15.36	15.44	14.83	15.36	595589	0.9505100000000001	9015200	70.952	4.441	185767.836	93363.30762
2841	002887	绿茵生态	-2.103	11.17	11.47	11.47	11.14	11.41	1478155	0.9148400000000001	16657501	11.17	1.686	348504.0	180480.419925
2842	002886	沃特股份	-3.169	23.53	24.27	24.65	23.36	24.3	2151449	2.5376000000000003	51728516	53.477	2.879	313604.421091	199493.878987
2843	002885	京泉华	-3.585	12.64	13.1	13.1	12.63	13.11	1410054	1.3900000000000001	18021617	43.586	2.779	227520.0	128223.38952
2844	002884	凌霄泵业	-3.801	26.07	26.81	27.07	25.84	27.1	2623391	1.3558	69079816	18.489	3.516	661871.064855	504438.143682
2845	002883	中设股份	-2.375	11.92	12.18	12.21	11.64	12.21	975883	1.09467	11586148	15.684	2.9699999999999998	155267.359584	106265.467344
2846	002882	金龙羽	-2.503	8.57	8.76	8.86	8.47	8.79	1691843	0.68628	14636197	13.164	1.957	370995.3	211271.925
2847	002881	美格智能	-2.834	16.8	17.29	17.29	16.77	17.29	990040	0.9210400000000001	16753575	124.629	5.522	310025.52	180584.88
2848	002880	卫光生物	-0.18	50.04	50.48	51.24	49.38	50.13	1102956	0.68084	55264766	31.541	5.283	810648.0	810648.0
2849	002879	长缆科技	0.677	13.39	13.13	13.39	12.96	13.3	857660	0.66164	11264751	17.39	1.7469999999999999	258571.12996	173570.507474
2850	002878	元隆雅图	-2.6630000000000003	19.01	19.3	19.65	18.96	19.53	1767229	0.9434800000000001	33818805	21.36	5.436	421125.207052	356077.309926
2851	002877	智能自控	-1.433	6.88	6.87	7.04	6.87	6.98	866112	0.42384000000000005	6013619	32.762	3.206	228775.058256	140592.296384
2852	002876	三利谱	1.794	53.9	52.72	54.85	52.57	52.95	4877587	5.098	262641655	110.0	3.674	672672.0	515696.38351
2853	002875	安奈儿	-2.761	8.1	8.38	8.38	8.1	8.33	644613	0.8126	5279929	25.313	1.611	138004.25706	64255.41594
2854	002873	新天药业	-2.956	15.43	15.87	16.04	15.33	15.9	665681	0.58811	10387750	24.956	2.396	180763.287849	174650.890853
2855	002872	ST天圣	-2.421	4.03	4.13	4.13	4.01	4.13	1415550	0.6582800000000001	5742104	-5.751	0.47600000000000003	128154.0	86660.422004
2856	002871	伟隆股份	-2.479	13.77	14.15	14.15	13.7	14.12	1017595	1.67161	14087751	30.6	2.479	160668.36	83825.322525
2857	002870	香山股份	-2.641	24.7	25.37	25.83	24.7	25.37	1337700	2.7627	33674005	-41.864	3.488	273354.9	119597.4
2858	002869	金溢科技	-4.799	32.14	33.76	33.78	32.04	33.76	3711990	2.4884500000000003	121207063	4.326	2.5789999999999997	580564.415758	479428.74818
2859	002868	绿康生化	-5.785	11.4	12.04	12.05	11.28	12.1	1141358	0.7343900000000001	13157477	24.255	2.315	177174.05418	177174.05418
2860	002867	周大生	1.504	31.72	31.52	32.0	31.11	31.25	13311311	1.8411400000000002	420030788	23.153	4.558	2318147.086372	2293328.8794
2861	002866	传艺科技	-0.494	16.1	16.4	16.47	16.08	16.18	2623815	1.9910700000000001	42555451	53.667	2.641	460900.95646	212163.9002
2862	002865	钧达股份	-1.568	18.21	18.5	18.82	17.61	18.5	2223212	1.77861	40243336	130.071	2.548	234555.560289	227619.735489
2863	002864	盘龙药业	-1.7109999999999999	23.55	23.86	24.07	23.44	23.96	610000	1.10308	14420916	28.373	2.884	204107.85	130231.177365
2864	002863	今飞凯达	-3.502	4.96	5.1	5.15	4.96	5.14	8363508	2.06261	42101248	33.067	1.677	247401.730752	201118.69008
2865	002862	实丰文化	-5.495	8.6	9.08	9.09	8.56	9.1	2987878	4.64422	26116904	86.0	1.881	103200.0	55328.487
2866	002861	瀛通通讯	-1.53	18.02	18.29	18.55	17.98	18.3	639380	0.93564	11631555	30.542	2.063	219491.5288	123141.855826
2867	002860	星帅尔	-0.481	14.48	14.55	14.66	14.38	14.55	1156115	0.8590500000000001	16772883	12.591	3.092	288274.067848	194871.754568
2868	002859	洁美科技	10.007	29.57	26.91	29.57	26.61	26.88	24517730	6.08519	706891046	64.283	6.949	1216301.269403	1191399.630196
2869	002858	力盛赛车	1.796	12.47	12.27	12.85	11.36	12.25	9927800	10.39863	120810913	65.632	3.693	157521.04	119053.864575
2870	002857	三晖电气	-2.951	11.84	12.35	12.4	11.58	12.2	558400	0.61165	6680725	47.36	3.149	151552.0	108091.354816
2871	002856	美芝股份	-3.3689999999999998	11.76	12.17	12.17	11.75	12.17	624680	0.84213	7441003	-78.4	1.933	159127.862208	87234.17472
2872	002855	捷荣技术	-3.056	9.2	9.54	9.55	9.15	9.49	1605900	0.66017	14848948	40.0	1.695	230869.18104	223795.65064
2873	002853	皮阿诺	-0.5	25.86	25.6	26.8	25.11	25.99	1771350	1.8601900000000002	45932124	22.885	3.193	401713.119	246250.073418
2874	002852	道道全	-1.908	13.37	13.59	13.65	13.31	13.63	4109595	1.99166	55322590	29.711	1.9540000000000002	386393.0	275877.009177
2875	002851	麦格米特	-0.466	38.45	38.68	39.08	37.8	38.63	4487360	1.16728	173217891	49.607	6.882	1929834.46823	1478125.26012
2876	002850	科达利	-4.627	74.2	77.78	78.6	73.89	77.8	3788175	2.9137	287486951	65.664	6.118	1728269.74642	964691.5999
2877	002849	威星智能	-2.9859999999999998	10.72	11.05	11.06	10.69	11.05	853847	0.87899	9238167	21.44	1.921	141985.3816	104133.718736
2878	002848	高斯贝尔	-3.016	10.29	10.61	10.61	10.23	10.61	2094600	2.12188	21843103	169.522	2.996	171997.35	101577.27195
2879	002847	盐津铺子	-0.429	123.0	125.19	126.78	118.53	123.53	2883729	2.63178	349304654	119.417	16.835	1592850.0	1347750.4338
2880	002846	英联股份	-1.927	13.23	13.4	13.53	13.11	13.49	931831	0.6725500000000001	12370811	32.268	3.436	263188.0944	183303.19791
